 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
BH,,,Victory Outreach,,"Christian-based residential program for men, women, and pregnant women.",Low-income.,,,,CA,La Puente,91744,626.961.4910,,,,
CDR,,,Victory Outreach 3,,"A Bible based Christian drug and alcohol addictions recovery program. Separate homes for able bodied men and women (no children). Free service that requires a one year commitment. Services cannot be provided to those who require maintenance pain, psychological, or narcotic medications. Re entry homes are available after the one year of recovery time.",, Office hours: Tues-Friday 8:00am-4:00pm (909) 865-0373 909-622-3533,60 S East End Av.,,CA,Pomona,91767,(909) 865-0373 909-622-3533,,,,
FB,,,Village Covenant,,Food Pantry,,Fridays 9-3:00 pm,5607 N Barrack Ave,,CA,Azusa,91702,626.335.4013,,www.villagecov.com,confirmed,
SS,,,Vineyard Christian Fellowship,,Emergency services provided to the needy,,Tues-Fri 9am-4pm,100 E. Foothill Blvd.,,CA,San Dimas,91773,909.394.3023,,,,
SS,Martha,Trujillo,VOA of El Monte Access & Outreach Center,Access Case Manager/Housing,Provides assistance and referrals to homeless individuals and families,"Homeless families, at risk of becoming homeless",M-F 8:00a.m. to 4:30p.m.,4501 Santa Anita Ave.,,CA,El Monte,92731,626.337.9878,,,left message 10/9,
ES,,,Volunteers of America,,"Offers housing placement, emergency, transitional and SRO housing, sober living/maternity, support groups, budget workshops, prevention meetings, life skills groups, benefits advocacy, employment assistance, addiction treatment placement, veterans assistance, medical referrals, legal assistance",,Mon-Fri 8am-4:30pm,1760 West Cameron Ave ,STE. 104,CA,West Covina,91790,626.337.9878,,,confirmed,
BH,,,Volunteers of America,,"Offers housing placement, emergency, transitional and SRO housing, sober living/maternity, support groups, budget workshops, prevention meetings, life skills groups, benefits advocacy, employment assistance, addiction treatment placement, veterans assistance, medical referrals, legal assistance",,Mon-Fri 8am-4:30pm,1760 West Cameron Ave ,STE. 104,CA,West Covina,91790,626.337.9878,,,confirmed,
SS,,,Volunteers of America,,"Offers housing placement, emergency, transitional and SRO housing, sober living/maternity, support groups, budget workshops, prevention meetings, life skills groups, benefits advocacy, employment assistance, addiction treatment placement, veterans assistance, medical referrals, legal assistance",,Mon-Fri 8am-4:30pm,1760 West Cameron Ave ,STE. 104,CA,West Covina,91790,626.337.9878,,,confirmed,
EES,,,Volunteers of America,,"Offers housing placement, emergency, transitional and SRO housing, sober living/maternity, support groups, budget workshops, prevention meetings, life skills groups, benefits advocacy, employment assistance, addiction treatment placement, veterans assistance, medical referrals, legal assistance",,Mon-Fri 8am-4:30pm,1760 West Cameron Ave ,STE. 104,CA,West Covina,91790,626.337.9878,,,confirmed,
HCS,,,Volunteers of America,,"Offers housing placement, emergency, transitional and SRO housing, sober living/maternity, support groups, budget workshops, prevention meetings, life skills groups, benefits advocacy, employment assistance, addiction treatment placement, veterans assistance, medical referrals, legal assistance",,Mon-Fri 8am-4:30pm,1760 West Cameron Ave ,STE. 104,CA,West Covina,91790,626.337.9878,,,confirmed,
LS,,,Volunteers of America,,"Offers housing placement, emergency, transitional and SRO housing, sober living/maternity, support groups, budget workshops, prevention meetings, life skills groups, benefits advocacy, employment assistance, addiction treatment placement, veterans assistance, medical referrals, legal assistance",,Mon-Fri 8am-4:30pm,1760 West Cameron Ave ,STE. 104,CA,West Covina,91790,626.337.9878,,,confirmed,
CM,Adrianna,Villa,Volunteers of America San Gabriel Valley Rapid Re-Housing Program,,"Provides assistance for homeless families seeking temporary rental housing including case management, supportive services to chronically homeless families, and locating, moving into and retaining permanent housing",Homeless Families,8:00 am-4:30 pm,4501 Santa Anita Ave,,CA,El Monte,91731,"626.433.8149
or 
626.433.8148",,,confirmed,
PSH,Adrianna,Villa,Volunteers of America San Gabriel Valley Rapid Re-Housing Program,,"Provides assistance for homeless families seeking temporary rental housing including case management, supportive services to chronically homeless families, and locating, moving into and retaining permanent housing",Homeless Families,8:00 am-4:30 pm,4501 Santa Anita Ave,,CA,El Monte,91731,"626.433.8149
or 
626.433.8148",,,confirmed,
SS,Adrianna,Villa,Volunteers of America San Gabriel Valley Rapid Re-Housing Program,,"Provides assistance for homeless families seeking temporary rental housing including case management, supportive services to chronically homeless families, and locating, moving into and retaining permanent housing",Homeless Families,8:00 am-4:30 pm,4501 Santa Anita Ave,,CA,El Monte,91731,"626.433.8149
or 
626.433.8148",,,confirmed,
FB,,,W.E.W.I.N./For Christ's Sake,,"Provide non-perishable food, clothing, small appliances, bedding, etc.",,Tuesdays 10:00 a.m. to 2:00 p.m.,727 W. 12th St.,,CA,Pomona,91766,"909.622.0094
909.721.2915",,FCSED@aol.com,confirmed,
CA,,,W.E.W.I.N./For Christ's Sake,,"Provide non-perishable food, clothing, small appliances, bedding, etc.",,Tuesdays 10:00 a.m. to 2:00 p.m.,727 W. 12th St.,,CA,Pomona,91766,"909.622.0094
909.721.2915",,FCSED@aol.com,confirmed,
SS,,,W.E.W.I.N./For Christ's Sake,,"Provide non-perishable food, clothing, small appliances, bedding, etc.",,Tuesdays 10:00 a.m. to 2:00 p.m.,727 W. 12th St.,,CA,Pomona,91766,"909.622.0094
909.721.2915",,FCSED@aol.com,confirmed,
BH,Brian,Banks,Weingart Center Association,Social Services Liaison,"Homeless shelter in Los Angeles County providing housing, meals, mental health and substance abuse services plus job assistance to homeless men, women,","Men, Women, Families",Call for more information,566 S. Pedro St,,CA,Los Angeles,90013,213.627.9000,,www.weingart.org,confirmed,
FB,Brian,Banks,Weingart Center Association,Social Services Liaison,"Homeless shelter in Los Angeles County providing housing, meals, mental health and substance abuse services plus job assistance to homeless men, women,","Men, Women, Families",Call for more information,566 S. Pedro St,,CA,Los Angeles,90013,213.627.9000,,www.weingart.org,confirmed,
MHS,Brian,Banks,Weingart Center Association,Social Services Liaison,"Homeless shelter in Los Angeles County providing housing, meals, mental health and substance abuse services plus job assistance to homeless men, women,","Men, Women, Families",Call for more information,566 S. Pedro St,,CA,Los Angeles,90013,213.627.9000,,www.weingart.org,confirmed,
SS,Brian,Banks,Weingart Center Association,Social Services Liaison,"Homeless shelter in Los Angeles County providing housing, meals, mental health and substance abuse services plus job assistance to homeless men, women,","Men, Women, Families",Call for more information,566 S. Pedro St,,CA,Los Angeles,90013,213.627.9000,,www.weingart.org,confirmed,
EES,Brian,Banks,Weingart Center Association,Social Services Liaison,"Homeless shelter in Los Angeles County providing housing, meals, mental health and substance abuse services plus job assistance to homeless men, women,","Men, Women, Families",Call for more information,566 S. Pedro St,,CA,Los Angeles,90013,213.627.9000,,www.weingart.org,confirmed,
SS,,,West Covina Access Center/VOA outreach,,A drop-in center where homeless people can access a wide variety of services.,,"M-Th 9am-Noon, 1pm-4:30pm; Fri 9am-Noon",1760 W. Cameron,STE. 104,CA,West Covina,91790,626.337.9878,,,,
HCS,,,Western University Patient Care Center- Dental,,"$30 for a dental screening exam, $129.00 for dental emergency visit.",,"Mon-Fri 8am-5pm, appointment times 8am and 1pm",795 E. Second St.,3rd floor,CA,Pomona,91766,909.706.3910,,,,
FB,,,White Ave. Baptist,,Food Pantry,,2nd Monday of every month 9:00a.m.,675 S. White Ave.,,CA,Pomona,91766,909.622.2234,,,confirmed,
SS,David,Barraza,Whittier First Day,,,,,12426 Whittier Blvd.,,CA,Whittier,90602,562.945.4304,,www.whittierfirstday.org,left message 10/9,
HCS,Taunya,Johnson,Whittier Health Center/ SPA 7,Public Health Nurse,,,,7643 Painter Ave.,,CA,Whittier,90602,562.464.5384,,www.wshc.org,left message 10/9,
FB,,,WIC,,"Supplemental food providing program providing nutrition education and coupons for purchasing specific foods such as milk, cheese, eggs, fruit, and infant formula. Serves pregnant and breast feeding women as well as infants up to 5 years.","Low income, high risk, with a medical referral. *Spanish spoken","Mon-Fri 9:15am-5:30pm, W 10:15 am-6:45 pm", 1213 E. Huntington Dr,,CA,Duarte,91010,888.942.2229,,www.fns.usda.gov/wic,,
EES,,,WIC,,"Supplemental food providing program providing nutrition education and coupons for purchasing specific foods such as milk, cheese, eggs, fruit, and infant formula. Serves pregnant and breast feeding women as well as infants up to 5 years.","Low income, high risk, with a medical referral. *Spanish spoken","Mon-Fri 9:15am-5:30pm, W 10:15 am-6:45 pm", 1213 E. Huntington Dr,,CA,Duarte,91010,888.942.2229,,www.fns.usda.gov/wic,,
FB,,,WIC Program Covina WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm, 1012 Citrus Ave,STE. A & B,CA,Covina,91722,888.942.2229,,www.phfewic.org,,
FB,,,WIC Program Indian Hill WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm,1460 E. Holt Ave.,Suite194,CA,Pomona,91767,888.942.2229,,www.phfewic.org,,
FB,,,WIC Program Industry Hills WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm,417 S. Azusa Ave.,,CA,La Puente,91744,888.942.2229,,www.phfewic.org,,
FB,,,WIC Program N. Pomona WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm,1890 N. Garey Ave.,Suite W,CA,Pomona,91767,888-942-2229,,www.phfewic.org,,
FB,,,WIC Program S. Pomona WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm,2232 S. Garey Ave.,,CA,Pomona,91766,888-942-2229,,www.phfewic.org,,
FB,,,WIC Program- Amar WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm,15942 Amar Rd.,,CA,City of Industry,91744,888.942.2229,,www.phfewic.org,confirmed,
FB,,,WIC Program- El Monte WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm,3560 Santa Anita Ave,Unit G,CA,El Monte,91731,888.942.2229,,www.phfew.org,,
FB,,,WIC Program- Garvey WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm,10016 Garvey Av.,Unit 1,CA,El Monte,91731,888.942.2229,,www.phfew.org,,
FB,,,WIC Program- Rosemead WIC Center,,"WIC is a federal supplemental nutrition program. WIC provides nutrition education, breastfeeding support, referrals and vouchers for specific foods to eligible participants. WIC services are offered in multiple languages (English, Spanish, Chinese, Vietnamese, American and Korean)","WIC serves low income families with a pregnant, breastfeeding or post partum mother and infants or children under 5 yrs. of age",M-T-TH 9:15am-5:15pm/Wed 11am -7:15pm/Fri 10am-5:15pm,8923 E. Mission Dr.,,CA,Rosemead,91770,888.942.2229,,www.phfewic.org,,
